sep=;
questionName	correctAnswer	wrongAnswer1	wrongAnswer2	wrongAnswer3	difficulty	correctAnswerValue
As células animais e vegetais são:	Ambas eucariontes	"Eucarionte e Procarionte, respectivamente"	Ambas procariontes	"Procarionte e Eucarionte, respectivamente"	0	
Qual a função da vesícula secretora?	Transporte de substâncias na célula	Geração de energia	Metabolismo	Divisão celular	0	
Qual é a função das mitocôndrias?	Respiração celular	Síntese de lipídios	Formação de enzimas	Ciclo de Krebs	0	
Qual a função do Complexo de Golgi?	Armazenar proteínas	Armazenar minerais	Armazenar energia	Síntese de lípidios	0	
Qual a função do DNA?	Codificar para a síntese de proteínas	Divisão celular	Armazenar proteínas	Respiração celular	0	
Qual a função do Nucléolo?	Produção de RNAr	Produção de DNA	Produção de RNAM	Produção de ATP	0	
Qual a principal função do retículo endoplasmático liso?	Desintoxicação celular	Síntese de vitaminas	Síntese de proteinas	Desintoxicação alimentar	0	
Qual a função do Vacuolo Pulsátil?	Eliminar o excesso de água	Regular a síntese de proteínas	Regular o transporte de proteínas	Regular o transporte de íons	0	
Qual a função dos centríolos?	Divisão celular	Codificicar para a síntese de proteínas	Digestão intracelular	Fotossíntese	0	
Qual a função dos cloroplastos?	Fotossíntese	Produção de RNA	Transporte de proteínas	Divisão Celular	0	
Qual a função dos lisossomos?	Digestão intracelular	Divisão celular	Codificação para a síntese de proteínas	Produção de proteínas	0	
Qual das alternativas abaixo contém organelas presentes na célula animal?	"Centríolo, Lisossomos, Peroxissomos"	"Parede celular, Ribossomos, Glioxissoma"	"Centríolo, Parede celular, Plastos"	"Vacúolo digestivo, Parede celular, Glioxissoma"	0	
Qual das alternativas abaixo contém organelas presentes na célula vegetal?	"Vacúolo central, Plastos, Glioxissoma"	"Lisossomos, Peroxissomos, Plastos"	"Lisossomos, Retículo endoplasmático, Parede celular"	"Retículo endoplasmático, Peroxissomos"	0	
"Qual das alternativas abaixo possui organelas encontradas tanto nas células animais, quanto nas vegetais?"	"Complexo golgiense, Retículo endoplasmático e Peroxissomos"	"Vacúolo Central, Centríolos, Mitocôndrias"	"Mitocôndria, Retículo endoplasmático e Vacúolo de suco celular"	"Ribossomos, Peroxissomos e Glioxissoma"	0	
Qual a função dos ribossomos?	Síntese de proteinas	Síntese de enzimas	Síntese de lípídios 	Sintese de polissacarídeos	0	
